org_id remap_id
http://rdf.freebase.com/ns/type.object.type 0
http://rdf.freebase.com/ns/type.type.instance 1
http://www.w3.org/1999/02/22-rdf-syntax-ns#type 2
http://rdf.freebase.com/ns/kg.object_profile.prominent_type 3
http://rdf.freebase.com/ns/book.written_work.subjects 4
http://rdf.freebase.com/ns/common.topic.notable_types 5
http://rdf.freebase.com/ns/book.book_subject.works 6
http://rdf.freebase.com/ns/media_common.literary_genre.books_in_this_genre 7
http://rdf.freebase.com/ns/book.written_work.author 8
http://rdf.freebase.com/ns/book.written_work.original_language 9
http://rdf.freebase.com/ns/freebase.valuenotation.is_reviewed 10
http://rdf.freebase.com/ns/book.book.genre 11
http://rdf.freebase.com/ns/book.author.works_written 12
http://rdf.freebase.com/ns/book.written_work.previous_in_series 13
http://rdf.freebase.com/ns/book.literary_series.works_in_this_series 14
http://rdf.freebase.com/ns/book.book_character.appears_in_book 15
http://rdf.freebase.com/ns/book.written_work.part_of_series 16
http://rdf.freebase.com/ns/book.book.characters 17
http://rdf.freebase.com/ns/book.written_work.next_in_series 18
http://www.w3.org/2000/01/rdf-schema#label 19
http://rdf.freebase.com/ns/freebase.valuenotation.has_value 20
http://rdf.freebase.com/ns/theater.play.country_of_origin 21
http://rdf.freebase.com/ns/book.short_story.genre 22
http://rdf.freebase.com/ns/fictional_universe.work_of_fiction.part_of_these_fictional_universes 23
http://rdf.freebase.com/ns/theater.play.genre 24
http://rdf.freebase.com/ns/book.illustrator.books_illustrated 25
http://rdf.freebase.com/ns/media_common.literary_genre.stories_in_this_genre 26
http://rdf.freebase.com/ns/type.object.name 27
http://rdf.freebase.com/ns/fictional_universe.fictional_universe.works_set_here 28
http://rdf.freebase.com/ns/freebase.valuenotation.has_no_value 29
http://rdf.freebase.com/ns/theater.theater_genre.plays_in_this_genre 30
http://rdf.freebase.com/ns/book.book.interior_illustrations_by 31
http://rdf.freebase.com/ns/base.yupgrade.user.topics 32
